Gemeinde,Inländer,Ausländer,davon EU-28-Staaten,davon andere europäische Staaten,davon Afrika,davon Asien,davon Amerika-Ozeanien,davon Staatenlose
001 Aldein,1.621,20,5,11,3,1,0,0
002 Andrian,796,23,14,5,1,2,1,0
003 Altrei,371,10,4,5,0,0,1,0
004 Eppan a.d. Weinstr.,12.250,523,269,121,45,69,19,0
005 Hafling,678,41,15,21,0,5,0,0
006 Abtei,3.032,30,11,9,5,1,4,0
007 Barbian,1.498,41,23,6,0,11,1,0
008 Bozen,91.835,5.077,1.180,1.628,1.202,633,430,4
009 Prags,625,7,7,0,0,0,0,0
010 Brenner,1.948,111,33,7,7,63,1,0
011 Brixen,17.779,756,282,296,47,108,23,0
012 Branzoll,2.195,94,16,40,26,5,7,0
013 Bruneck,13.113,530,181,238,14,87,9,1
014 Kuens,315,1,1,0,0,0,0,0
015 Kaltern a.d. Weinstr.,6.624,302,162,54,32,48,6,0
016 Freienfeld,2.463,56,28,8,2,18,0,0
017 Sand in Taufers,4.791,85,44,20,4,14,3,0
018 Kastelbell-Tschars,2.257,53,27,16,5,5,0,0
019 Kastelruth,5.861,133,54,34,6,38,1,0
020 Tscherms,1.204,41,38,3,0,0,0,0
021 Kiens,2.611,34,17,11,6,0,0,0
022 Klausen,4.540,131,45,29,2,47,7,1
023 Karneid,3.043,60,18,27,11,1,3,0
024 Kurtatsch a.d.Weinstr.,2.028,57,35,11,1,10,0,0
025 Kurtinig a.d. Weinstr.,582,15,3,5,7,0,0,0
026 Corvara,1.259,6,4,1,0,0,0,1
027 Graun im Vinschgau,2.310,58,50,4,0,4,0,0
028 Toblach,3.184,88,34,42,0,11,1,0
029 Neumarkt,4.248,143,54,45,23,6,15,0
030 Pfalzen,2.236,25,19,4,0,2,0,0
031 Völs am Schlern,2.919,146,58,37,23,21,7,0
032 Franzensfeste,837,65,16,14,8,25,2,0
033 Villnöss,2.377,27,16,2,4,4,1,0
034 Gais,2.878,36,26,8,1,0,1,0
035 Gargazon,1.371,38,10,15,9,0,4,0
036 Glurns,857,18,11,3,4,0,0,0
037 Latsch,4.632,263,82,129,29,22,1,0
038 Algund,3.987,109,44,30,20,10,5,0
039 Lajen,2.275,30,15,6,3,5,1,0
040 Leifers,14.759,451,89,134,130,50,48,0
041 Lana,9.444,383,194,138,28,20,3,0
042 Laas,3.654,60,25,25,1,6,3,0
043 Laurein,360,0,0,0,0,0,0,0
044 Lüsen,1.454,16,8,6,1,1,0,0
045 Margreid a.d. Weinstr.,1.125,61,19,29,6,5,2,0
046 Mals,4.745,97,49,28,18,2,0,0
047 Enneberg,2.662,37,13,22,1,1,0,0
048 Marling,2.128,54,30,8,7,8,1,0
049 Martell,881,11,11,0,0,0,0,0
050 Mölten,1.430,14,12,2,0,0,0,0
051 Meran,31.924,2.035,738,691,292,233,77,4
052 Welsberg-Taisten,2.501,100,26,44,0,30,0,0
053 Montan,1.463,33,17,9,0,1,6,0
054 Moos in Passeier,2.166,16,14,1,1,0,0,0
055 Nals,1.556,24,16,0,3,5,0,0
056 Naturns,4.932,158,89,35,9,21,3,1
057 Natz-Schabs,2.379,88,34,34,7,11,2,0
058 Welschnofen,1.777,60,31,4,5,17,3,0
059 Deutschnofen,3.485,118,44,45,10,16,2,1
060 Auer,2.969,110,44,44,6,9,7,0
061 St.Ulrich,4.377,108,30,37,4,8,29,0
062 Partschins,3.152,79,42,26,5,2,4,0
063 Percha,1.305,18,10,8,0,0,0,0
064 Plaus,540,21,3,15,3,0,0,0
065 Waidbruck,168,18,0,3,14,0,0,1
066 Burgstall,1.466,47,27,9,0,8,3,0
067 Prad am Stilfser Joch,3.076,100,42,27,29,1,1,0
068 Prettau,618,4,4,0,0,0,0,0
069 Proveis,280,2,2,0,0,0,0,0
070 Ratschings,3.950,54,30,13,4,7,0,0
071 Rasen-Antholz,2.706,26,18,5,1,1,1,0
072 Ritten,6.731,272,112,108,19,26,7,0
073 Riffian,1.160,12,8,2,2,0,0,0
074 Mühlbach,2.515,140,34,39,33,33,1,0
075 Rodeneck,1.136,12,5,3,3,0,1,0
076 Salurn,2.747,196,55,62,43,25,11,0
077 Innichen,3.023,73,37,11,12,13,0,0
079 Jenesien,2.692,44,21,12,9,1,1,0
080 St.Leonhard in Pass.,3.370,38,23,10,0,5,0,0
081 St.Lorenzen,3.412,56,19,24,6,6,1,0
082 St.Martin in Thurn,1.685,11,5,0,6,0,0,0
083 St.Martin in Passeier,2.805,51,26,9,5,7,1,3
084 St.Pankraz,1.575,13,12,1,0,0,0,0
085 St.Christina in Gröden,1.728,51,17,7,10,0,17,0
086 Sarntal,6.501,109,46,34,25,0,4,0
087 Schenna,2.639,47,40,6,0,0,1,0
088 Mühlwald,1.458,8,4,4,0,0,0,0
089 Wolkenstein in Gröden,2.502,49,33,6,0,4,6,0
091 Schnals,1.364,40,16,22,2,0,0,0
092 Sexten,1.876,40,23,11,2,4,0,0
093 Schlanders,5.575,202,101,73,4,17,7,0
094 Schluderns,1.807,42,20,7,14,1,0,0
095 Stilfs,1.252,53,26,14,12,1,0,0
096 Terenten,1.565,24,14,9,0,1,0,0
097 Terlan,3.523,151,64,39,23,23,2,0
098 Tramin a.d. Weinstr.,3.066,110,42,31,15,19,3,0
099 Tisens,1.759,36,22,11,0,2,1,0
100 Tiers,890,11,6,5,0,0,0,0
101 Tirol,2.280,65,51,8,0,5,1,0
102 Truden im Naturpark,922,58,4,48,0,6,0,0
103 Taufers im Münstertal,928,12,5,6,0,0,1,0
104 Ulten,2.962,19,18,0,1,0,0,0
105 Pfatten,816,34,7,14,12,0,1,0
106 Olang,2.756,51,27,16,1,6,1,0
107 Pfitsch,2.495,81,31,23,7,18,0,2
108 Ahrntal,5.496,39,25,8,4,1,0,1
109 Gsies,2.058,44,23,17,0,4,0,0
110 Vintl,3.081,71,23,26,6,14,0,2
111 Vahrn,3.450,137,63,39,10,19,6,0
112 Vöran,878,9,7,2,0,0,0,0
113 Niederdorf,1.267,44,15,23,0,6,0,0
114 Villanders,1.806,23,5,6,0,12,0,0
115 Sterzing,5.629,199,77,35,12,71,4,0
116 Feldthurns,2.529,46,27,12,1,4,2,0
117 Wengen,1.229,2,2,0,0,0,0,0
118 U.L.Frau i.W.-St.Felix,783,7,4,2,1,0,0,0
